   8 Baker	Earle
   6 Earle	Image
   5 year	old
   5 vaccination	centre
   4 to	be
   4 the	BBC
   4 Grace	Baker
   4 Anti	vaxxers
   3 source	Angela
   3 on	the
   3 need	to
   3 from	a
   3 entitled	to
   3 didn	t
   3 by	protesters
   3 Worklife	Travel
   3 Travel	Future
   3 Sport	Reel
   3 Reel	Worklife
   3 October	2021
   3 News	Sport
   3 Image	source
   3 Image	caption
   3 I	was
   3 Home	News
   3 Future	Culture
   3 Desmond	Tutu
   3 BBC	News
   3 Angela	Baker
   3 15	year
   2 you	re
   2 wrong	to
   2 women	escaped
   2 who	is
   2 was	wrong
   2 vaxxers	told
   2 vaccination	centres
   2 turn	off
   2 told	me
   2 to	turn
   2 to	step
   2 to	say
   2 to	protest
   2 to	get
   2 to	North
   2 to	15
   2 this	case
   2 the	vaccination
   2 the	individual
   2 the	impact
   2 that	I
   2 t	feel
   2 she	had
   2 shaken	up
   2 said	they
   2 said	a
   2 right	to
   2 rare	defection
   2 parliament	in
   2 off	city
   2 of	gin
   2 nine	women
   2 new	holiday
   2 my	daughter
   2 me	I
   2 jumping	to
   2 it	s
   2 it	in
   2 is	not
   2 in	this
   2 in	rare
   2 in	Wales
   2 in	Cape
   2 in	2022
   2 impact	that
   2 hours	ago
   2 holiday	peak
   2 hit	new
   2 her	daughter
   2 have	a
   2 has	been
   2 group	jumping
   2 gin	and
   2 get	jab
   2 flight	cancellations
   2 fire	at
   2 felt	shaken
   2 feel	safe
   2 escaped	from
   2 defection	to
   2 death	march
   2 crosses	DMZ
   2 city	lights
   2 caption	Grace
   2 cancellations	hit
   2 by	a
   2 at	the
   2 at	South
   2 are	entitled
   2 and	tonic
   2 and	her
   2 about	it
   2 a	wheelchair
   2 a	Nazi
   2 Weather	Sounds
   2 Wales	Police
   2 Topics	Coronavirus
   2 The	Tourist
   2 TV	Weather
   2 South	Wales
   2 South	African
   2 She	said
   2 Related	Topics
   2 Published	9
   2 Nazi	death
   2 Music	TV
   2 Mr	Drakeford
   2 Mark	Drakeford
   2 Korean	crosses
   2 I	didn
   2 DMZ	in
   2 Culture	Music
   2 Covid	19
   2 Coronavirus	pandemic
   2 Cape	Town
   2 African	parliament
   2 Accessibility	Help
   2 9	October
   2 12	to
   1 your	mobile
   1 your	daughter
   1 your	browser
   1 young	woman
   1 you	you
   1 you	need
   1 you	can
   1 yesterday	at
   1 yesterday	As
   1 year	olds
   1 year	Typewriter
   1 year	I
   1 year	Grace
   1 yards	since
   1 wouldn	t
   1 worn	in
   1 woman	screaming
   1 woman	felt
   1 witness	that
   1 without	its
   1 within	two
   1 with	us
   1 with	the
   1 with	lemon
   1 with	This
   1 will	message
   1 will	have
   1 will	get
   1 who	intimidated
   1 while	going
   1 when	the
   1 wheelchair	to
   1 wheelchair	since
   1 what	the
   1 were	too
   1 were	safe
   1 were	followed
   1 were	confronted
   1 we	walked
   1 we	had
   1 we	are
   1 ways	to
   1 way	that
   1 was	within
   1 was	very
   1 was	stupid
   1 was	speaking
   1 was	she
   1 was	made
   1 was	incredibly
   1 was	arrested
   1 wants	fossil
   1 walking	in
   1 walking	behind
   1 walked	up
   1 walked	out
   1 walked	in
   1 walk	into
   1 vomiting	and
   1 view	They
   1 video	you
   1 video	can
   1 very	upsetting
   1 vaxxers	who
   1 vaxxers	intimidate
   1 vax	protesters
   1 vaccines	Anti
   1 vaccine	has
   1 vaccine	Jab
   1 vaccination	movement
   1 using	her
   1 uses	a
   1 us	be
   1 us	and
   1 us	Shame
   1 us	AdChoices
   1 upsetting	to
   1 upset	my
   1 up	to
   1 up	by
   1 up	after
   1 up	a
   1 unpleasant	experience
   1 two	feet
   1 trust	the
   1 trailer	for
   1 torching	returns
   1 too	scared
   1 tonic	with
   1 tonic	Glass
   1 told	them
   1 told	her
   1 told	BBC
   1 to	witness
   1 to	walk
   1 to	think
   1 to	the
   1 to	tell
   1 to	see
   1 to	intimidate
   1 to	her
   1 to	go
   1 to	external
   1 to	express
   1 to	enable
   1 to	do
   1 to	content
   1 to	comment
   1 to	France
   1 to	12
   1 time	for
   1 thriller	starring
   1 this	year
   1 this	video
   1 this	story
   1 third	season
   1 thinks	about
   1 think	about
   1 they	were
   1 they	walked
   1 they	need
   1 they	felt
   1 there	yesterday
   1 then	came
   1 them	You
   1 their	view
   1 the	third
   1 the	protests
   1 the	protesters
   1 the	person
   1 the	long
   1 the	heart
   1 the	first
   1 the	experience
   1 the	enforcement
   1 the	content
   1 the	building
   1 the	Vale
   1 the	Guildhall
   1 the	Bayside
   1 the	2013
   1 that	young
   1 that	will
   1 that	the
   1 that	simply
   1 that	people
   1 that	intimidates
   1 that	has
   1 than	50
   1 terms	of
   1 term	Mr
   1 tense	new
   1 tennis	star
   1 tell	one
   1 teen	outside
   1 teen	blasted
   1 targeted	by
   1 talking	about
   1 t	speak
   1 t	remember
   1 t	leave
   1 t	have
   1 t	exist
   1 surrounded	my
   1 success	in
   1 stupid	I
   1 story	Anti
   1 stop	she
   1 stone	after
   1 steward	then
   1 step	in
   1 step	back
   1 station	hit
   1 started	shouting
   1 starring	Jamie
   1 star	Emma
   1 spot	as
   1 sporting	events
   1 speaking	after
   1 speakers	Get
   1 speak	to
   1 space	and
   1 son	4Face
   1 so	on
   1 smart	speakers
   1 skier	Dave
   1 sites	Read
   1 since	she
   1 since	contracting
   1 since	4
   1 simply	shouldn
   1 shouting	at
   1 shouldn	t
   1 she	will
   1 she	uses
   1 she	said
   1 she	didn
   1 she	and
   1 sharing	Related
   1 series	6
   1 see	how
   1 season	of
   1 screaming	at
   1 scared	to
   1 says	When
   1 say	that
   1 say	stop
   1 said	the
   1 said	officers
   1 said	it
   1 said	her
   1 said	Stop
   1 said	People
   1 said	Mark
   1 said	It
   1 said	15
   1 safe	walking
   1 safe	She
   1 safe	Meanwhile
   1 s	the
   1 s	running
   1 s	personal
   1 s	not
   1 s	next
   1 s	mother
   1 s	classrooms
   1 s	Eve
   1 s	Bayside
   1 running	from
   1 runner	Dina
   1 reunites	Chinese
   1 returns	to
   1 responsible	for
   1 remember	The
   1 released	on
   1 referee	Archbishop
   1 receiving	the
   1 re	talking
   1 re	not
   1 re	killing
   1 rational	this
   1 rat	at
   1 raised	my
   1 racially	aggravated
   1 protests	thinks
   1 protesters	yesterday
   1 protesters	walked
   1 protesters	to
   1 protesters	in
   1 protesters	accused
   1 protesters	South
   1 protester	walking
   1 protest	people
   1 protest	and
   1 protection	for
   1 promoting	the
   1 prepared	to
   1 please	don
   1 plays	on
   1 played	To
   1 play	this
   1 personal	space
   1 person	who
   1 people	outside
   1 people	have
   1 people	entering
   1 people	are
   1 people	Grace
   1 peak	Published
   1 peak	9Fireworks
   1 past	he
   1 parkour	The
   1 parents	said
   1 parent	Melissa
   1 pandemic	This
   1 pandemic	More
   1 page	BUTTON
   1 outside	jab
   1 outside	Covid
   1 outbreak	8US
   1 out	we
   1 out	to
   1 out	and
   1 our	approach
   1 others	Grace
   1 one	woman
   1 one	man
   1 one	arrest
   1 on	you
   1 on	this
   1 on	in
   1 on	but
   1 on	bail
   1 on	Saturday
   1 olds	in
   1 old	mother
   1 old	man
   1 old	girl
   1 old	daughter
   1 old	computer
   1 officers	attended
   1 offers	for
   1 offered	to
   1 offences	The
   1 of	using
   1 of	the
   1 of	people
   1 of	me
   1 of	her
   1 of	gold
   1 of	external
   1 of	Use
   1 of	Golden
   1 nurse	inside
   1 now	needs
   1 not	what
   1 not	responsible
   1 not	entitled
   1 not	be
   1 not	acceptable
   1 next	for
   1 news	alerts
   1 new	thriller
   1 new	heroes
   1 needs	a
   1 my	hand
   1 my	child
   1 my	car
   1 mum	were
   1 movement	Cowbridge
   1 mother	says
   1 mother	from
   1 mother	and
   1 mother	Angela
   1 more	than
   1 more	rational
   1 more	protection
   1 mobile	On
   1 minister	has
   1 message	A
   1 menu	BBC
   1 memory	map
   1 me	looked
   1 me	as
   1 mass	vaccination
   1 masks	to
   1 march	Hélène
   1 march	7Antarctic
   1 map	reunites
   1 many	were
   1 man	to
   1 man	from
   1 making	the
   1 made	Mr
   1 lost	half
   1 looked	at
   1 long	awaited
   1 literally	surrounded
   1 linking	
   1 link	About
   1 like	that
   1 lights	VideoParkour
   1 lights	Man
   1 lifechanging	for
   1 lemon	Three
   1 leave	us
   1 last	year
   1 lab	rat
   1 killing	your
   1 kill	and
   1 jab	on
   1 jab	centre
   1 jab	Published
   1 jab	It
   1 its	great
   1 it	was
   1 it	it
   1 is	making
   1 is	being
   1 into	the
   1 into	my
   1 intimidates	others
   1 intimidated	teen
   1 intimidated	Should
   1 intimidate	teen
   1 intimidate	people
   1 inside	the
   1 injure	in
   1 individual	who
   1 individual	Very
   1 incredibly	unpleasant
   1 in	your
   1 in	there
   1 in	the
   1 in	terms
   1 in	front
   1 in	a
   1 in	They
   1 in	New
   1 in	London
   1 in	Europe
   1 in	England
   1 in	Cardiff
   1 in	2006
   1 in	2005
   1 if	I
   1 how	upset
   1 hour	ago
   1 hoping	she
   1 hope	to
   1 holding	up
   1 hit	by
   1 hit	a
   1 history	of
   1 his	family
   1 hidden	history
   1 herself	felt
   1 heroes	after
   1 her	of
   1 her	mum
   1 her	mother
   1 her	many
   1 her	like
   1 her	car
   1 her	I
   1 her	15
   1 heart	of
   1 health	board
   1 he	can
   1 have	to
   1 have	on
   1 have	literally
   1 has	said
   1 has	on
   1 has	called
   1 has	be
   1 harassment	it
   1 hand	out
   1 half	term
   1 half	a
   1 had	vomiting
   1 had	to
   1 had	one
   1 had	Covid
   1 group	of
   1 great	referee
   1 got	into
   1 gold	White
   1 going	for
   1 go	more
   1 girl	and
   1 get	better
   1 full	2022
   1 fuel	free
   1 front	of
   1 from	Newport
   1 from	Cowbridge
   1 from	Barry
   1 free	flights
   1 fossil	fuel
   1 for	the
   1 for	racially
   1 for	people
   1 for	new
   1 for	more
   1 for	anti
   1 for	ages
   1 for	a
   1 for	Thomas
   1 for	Peaky
   1 for	Grace
   1 for	10
   1 footballer	Harry
   1 football	in
   1 followed	by
   1 flights	by
   1 first	minister
   1 felt	intimidated
   1 feet	of
   1 family	Watch
   1 external	sites
   1 external	linking
   1 express	their
   1 experience	when
   1 experience	hit
   1 exist	Antikythera
   1 events	full
   1 entrance	He
   1 entering	vaccination
   1 enforcement	authorities
   1 enable	JavaScript
   1 don	t
   1 doing	parkour
   1 do	it
   1 directly	approached
   1 diarrhoea	for
   1 despite	bans
   1 days	and
   1 daughter	were
   1 daughter	was
   1 daughter	s
   1 daughter	as
   1 daughter	and
   1 daughter	Ms
   1 contracting	Covid
   1 content	of
   1 content	Accessibility
   1 confronted	by
   1 confirmed	a
   1 computer	that
   1 comment	On
   1 close	Share
   1 clearly	in
   1 classrooms	5Denmark
   1 child	have
   1 checked	she
   1 ceremony	receiving
   1 centres	the
   1 centres	I
   1 centre	told
   1 centre	steward
   1 centre	entrance
   1 centre	The
   1 centre	Published
   1 centre	Ms
   1 celebrating	success
   1 catching	Covid
   1 case	that
   1 case	directly
   1 car	torching
   1 car	and
   1 car	She
   1 caption	It
   1 caption	Anti
   1 can	trust
   1 can	t
   1 can	not
   1 came	out
   1 called	for
   1 calendar	British
   1 by	half
   1 by	Mark
   1 by	Covid
   1 by	2030
   1 but	they
   1 building	Cardiff
   1 browser	Media
   1 board	has
   1 blasted	by
   1 better	her
   1 being	targeted
   1 being	in
   1 behind	us
   1 been	offered
   1 been	lifechanging
   1 be	worn
   1 be	prepared
   1 be	played
   1 be	more
   1 be	celebrating
   1 be	asked
   1 be	as
   1 bans	10New
   1 bail	for
   1 back	Grace
   1 awaited	trailer
   1 authorities	need
   1 attended	and
   1 at	us
   1 at	me
   1 at	her
   1 at	a
   1 at	Cardiff
   1 asked	to
   1 as	they
   1 as	she
   1 as	if
   1 as	a
   1 arrested	and
   1 arrest	was
   1 are	right
   1 are	hoping
   1 archbishop	Desmond
   1 approached	by
   1 approach	to
   1 anti	vax
   1 another	parent
   1 and	wouldn
   1 and	started
   1 and	son
   1 and	so
   1 and	she
   1 and	released
   1 and	one
   1 and	lost
   1 and	injure
   1 and	his
   1 and	herself
   1 and	footballer
   1 and	diarrhoea
   1 and	checked
   1 and	Vale
   1 alternate	alternate
   1 alternate	BBC
   1 also	said
   1 also	raised
   1 all	hope
   1 alerts	Contact
   1 ago	US
   1 ago	S
   1 ago	Features
   1 aggravated	offences
   1 ages	12
   1 after	catching
   1 after	being
   1 after	a
   1 after	Desmond
   1 accused	her
   1 account	Home
   1 acceptable	for
   1 about	our
   1 about	harassment
   1 a	way
   1 a	vaccination
   1 a	stone
   1 a	spot
   1 a	right
   1 a	protester
   1 a	past
   1 a	nurse
   1 a	lab
   1 a	jab
   1 a	group
   1 a	football
   1 a	ceremony
   1 a	Covid
   1 a	61
   1 a	15
   1 Your	account
   1 You	have
   1 York	City
   1 Year	s
   1 World	UK
   1 World	News
   1 Why	you
   1 White	promoting
   1 White	The
   1 When	you
   1 What	s
   1 West	South
   1 West	North
   1 Watch	the
   1 Wales	since
   1 Wales	by
   1 Wales	Wales
   1 Wales	Sunday
   1 Wales	Politics
   1 Wales	Business
   1 VideoParkour	group
   1 Video	World
   1 Very	clearly
   1 Vale	health
   1 Vale	Glamorgan
   1 Vaccination	Cardiff
   1 Use	About
   1 US	flight
   1 UK	The
   1 UK	Business
   1 Typewriter	with
   1 Tutu	holding
   1 Tutu	at
   1 Tutu	Former
   1 Town	Published
   1 Town	2S
   1 Tourist	Most
   1 Tourist	A
   1 Top	Stories
   1 To	play
   1 Three	ways
   1 Thomas	Shelby
   1 This	year
   1 This	video
   1 They	re
   1 They	are
   1 The	vaccine
   1 The	hidden
   1 The	Golden
   1 The	BBC
   1 The	42
   1 The	2
   1 Terms	of
   1 Templeton	Prize
   1 Tech	Science
   1 TV	In
   1 Supplement	that
   1 Sunday	Supplement
   1 Sunday	South
   1 Stories	Major
   1 Stories	Entertainment
   1 Stop	please
   1 South	West
   1 South	East
   1 Sounds	Terms
   1 Sounds	BUTTON
   1 Smith	and
   1 Skip	to
   1 Should	my
   1 Shelby	and
   1 Share	page
   1 Share	BUTTON
   1 Shame	on
   1 Services	On
   1 Sell	My
   1 Search	Home
   1 Science	Stories
   1 Saturday	Grace
   1 S	Korean
   1 Ryding	tennis
   1 Ringham	has
   1 Ringham	also
   1 Reality	Check
   1 Reads	Wales
   1 Read	about
   1 Read	1Major
   1 Raducanu	runner
   1 Radio	Wales
   1 Published	4
   1 Published	16
   1 Published	10
   1 Published	1
   1 Prize	at
   1 Privacy	Policy
   1 Politics	Wales
   1 Policy	Cookies
   1 Police	said
   1 Police	confirmed
   1 Podliasky	Betty
   1 Pictures	Reality
   1 Personalised	Newsletters
   1 People	are
   1 Peaky	Blinders
   1 Parkour	group
   1 Parental	Guidance
   1 Other	parents
   1 On	your
   1 On	smart
   1 On	Sunday
   1 October	Related
   1 Not	Sell
   1 North	West
   1 North	Published
   1 North	East
   1 North	3Child
   1 Newsletters	Why
   1 Newsbeat	Long
   1 News	TV
   1 News	Services
   1 News	Menu
   1 News	Home
   1 News	Covid
   1 Newport	was
   1 New	York
   1 My	Info
   1 Murphy	He
   1 Ms	Ringham
   1 Ms	Baker
   1 Most	Read
   1 More	on
   1 More	Health
   1 Mid	South
   1 MenuMore	Search
   1 Menu	Home
   1 Melissa	Ringham
