  10 have	been
   9 of	the
   9 in	the
   6 in	Europe
   6 Mark	Lowen
   6 Image	caption
   6 Guy	Delauney
   6 Covid	pass
   5 with	the
   5 to	be
   5 the	BBC
   5 on	the
   5 as	a
   5 Hugh	Schofield
   5 Green	Pass
   5 Anna	Holligan
   4 to	the
   4 to	show
   4 there	are
   4 the	passes
   4 the	pass
   4 the	Netherlands
   4 the	Covid
   4 passe	sanitaire
   4 from	a
   4 for	the
   4 a	Covid
   4 There	have
   4 October	2021
   4 Covid	passes
   4 BBC	News
   4 Adrienne	Murray
   3 water	cannon
   3 to	go
   3 the	passe
   3 the	government
   3 the	Swiss
   3 proof	of
   3 pass	in
   3 it	s
   3 is	not
   3 in	France
   3 has	to
   3 at	the
   3 and	the
   3 and	restaurants
   3 and	museums
   3 Worklife	Travel
   3 Travel	Future
   3 Sport	Reel
   3 Reel	Worklife
   3 News	Sport
   3 I	ve
   3 Home	News
   3 Future	Culture
   3 Desmond	Tutu
   3 Bethany	Bell
   2 year	old
   2 women	escaped
   2 with	a
   2 will	do
   2 will	be
   2 want	to
   2 vaccination	rates
   2 vaccinated	and
   2 up	a
   2 until	the
   2 turn	off
   2 to	work
   2 to	turn
   2 to	take
   2 to	see
   2 to	prove
   2 to	get
   2 to	follow
   2 to	enter
   2 to	North
   2 they	want
   2 the	rules
   2 the	pandemic
   2 the	opposition
   2 the	most
   2 the	end
   2 the	UK
   2 that	the
   2 take	the
   2 some	of
   2 social	distancing
   2 sanitaire	has
   2 s	no
   2 s	a
   2 restaurants	in
   2 rates	in
   2 rare	defection
   2 protests	in
   2 protesters	have
   2 protesters	against
   2 protest	against
   2 phased	out
   2 passes	in
   2 pass	was
   2 pass	although
   2 part	of
   2 parliament	in
   2 over	12s
   2 or	a
   2 one	of
   2 off	city
   2 of	vaccination
   2 of	recovery
   2 of	over
   2 of	gin
   2 of	a
   2 now	that
   2 no	longer
   2 nine	women
   2 new	holiday
   2 negative	test
   2 jumping	to
   2 it	was
   2 it	is
   2 in	recent
   2 in	rare
   2 in	a
   2 in	Vienna
   2 in	Trieste
   2 in	Slovenia
   2 in	Rome
   2 in	Paris
   2 in	Italy
   2 in	Cape
   2 in	2022
   2 if	they
   2 hours	ago
   2 holiday	peak
   2 hit	new
   2 hit	by
   2 he	had
   2 have	used
   2 have	to
   2 have	not
   2 group	jumping
   2 gin	and
   2 from	the
   2 forced	to
   2 for	a
   2 flight	cancellations
   2 first	in
   2 fire	at
   2 far	right
   2 expected	to
   2 escaped	from
   2 end	of
   2 during	a
   2 don	t
   2 despite	the
   2 defection	to
   2 death	march
   2 crosses	DMZ
   2 could	be
   2 compulsory	passes
   2 city	lights
   2 cinemas	and
   2 cancellations	hit
   2 cafes	and
   2 by	Covid
   2 been	protests
   2 been	asked
   2 be	more
   2 be	accepted
   2 be	a
   2 bars	restaurants
   2 at	South
   2 as	it
   2 are	demonstrations
   2 antigen	tests
   2 anti	Green
   2 and	water
   2 and	tonic
   2 and	are
   2 against	the
   2 across	the
   2 accepted	the
   2 a	third
   2 a	protest
   2 a	pass
   2 a	Nazi
   2 Weather	Sounds
   2 There	s
   2 The	government
   2 The	Tourist
   2 TV	Weather
   2 Swiss	pass
   2 South	African
   2 Schofield	The
   2 Related	Topics
   2 QR	code
   2 Published	16
   2 Nazi	death
   2 Music	TV
   2 Lowen	in
   2 Korean	crosses
   2 Italy	has
   2 It	is
   2 Imogen	Foulkes
   2 Image	source
   2 I	have
   2 Dutch	Coronacheck
   2 Damien	McGuinness
   2 DMZ	in
   2 Culture	Music
   2 Covid	rules
   2 Covid	19
   2 Coronavirus	pandemic
   2 Coronacheck	app
   2 Cape	Town
   2 Banner	Mark
   2 African	parliament
   2 Accessibility	Help
   2 3G	rule
   2 2021	Image
   1 your	mobile
   1 your	Green
   1 you	to
   1 you	go
   1 you	can
   1 year	if
   1 year	but
   1 year	Typewriter
   1 year	I
   1 writes	Mark
   1 writes	Hugh
   1 writes	Damien
   1 writes	Bethany
   1 writes	Anna
   1 writes	Adrienne
   1 would	only
   1 would	not
   1 would	make
   1 worn	in
   1 workplace	and
   1 workers	staged
   1 workers	if
   1 workers	at
   1 workers	Shops
   1 work	from
   1 work	There
   1 work	Passes
   1 work	And
   1 without	passes
   1 without	its
   1 without	good
   1 with	us
   1 with	tear
   1 with	libertarians
   1 with	lemon
   1 with	corona
   1 with	coffee
   1 with	around
   1 with	This
   1 with	Dutch
   1 winter	they
