   6 in	Wales
   5 the	BBC
   5 of	the
   5 12	to
   4 to	15
   4 the	virus
   4 she	said
   4 mental	health
   4 have	been
   4 chief	medical
   4 be	offered
   4 Covid	vaccine
   3 year	olds
   3 with	the
   3 will	be
   3 to	be
   3 of	Covid
   3 medical	officers
   3 make	an
   3 from	a
   3 an	informed
   3 a	Covid
   3 Worklife	Travel
   3 Travel	Future
   3 Sport	Reel
   3 Reel	Worklife
   3 Published	1
   3 October	2021
   3 News	Sport
   3 Home	News
   3 Future	Culture
   3 Desmond	Tutu
   3 Covid	jabs
   3 BBC	News
   3 15	year
   2 would	help
   2 women	escaped
   2 who	have
   2 were	at
   2 urged	to
   2 turn	off
   2 transparent	line
   2 to	turn
   2 to	help
   2 to	head
   2 to	have
   2 to	education
   2 to	discuss
   2 to	delay
   2 to	North
   2 threats	to
   2 the	vaccine
   2 the	vaccination
   2 the	heart
   2 the	end
   2 the	content
   2 the	UK
   2 than	10
   2 should	be
   2 risk	of
   2 responsible	for
   2 reduce	disruption
   2 rare	defection
   2 patient	numbers
   2 parliament	in
   2 one	dose
   2 on	health
   2 on	Vaccination
   2 off	city
   2 of	gin
   2 of	external
   2 of	a
   2 numbers	falling
   2 not	responsible
   2 nine	women
   2 new	holiday
   2 month	the
   2 many	people
   2 long	Covid
   2 jumping	to
   2 jabs	Published
   2 is	not
   2 is	a
   2 informed	decision
   2 in	rare
   2 in	Welsh
   2 in	Cape
   2 in	2022
   2 hours	ago
   2 hospital	patient
   2 holiday	peak
   2 hit	new
   2 healthy	12
   2 health	grounds
   2 health	collateral
   2 head	teachers
   2 half	term
   2 group	jumping
   2 grounds	alone
   2 giving	children
   2 gin	and
   2 from	the
   2 for	the
   2 flight	cancellations
   2 fire	at
   2 external	sites
   2 escaped	from
   2 end	of
   2 disruption	to
   2 discuss	the
   2 delay	giving
   2 defection	to
   2 death	march
   2 damage	of
   2 crosses	DMZ
   2 content	of
   2 collateral	damage
   2 city	lights
   2 children	were
   2 children	Covid
   2 cases	in
   2 cancellations	hit
   2 by	the
   2 at	South
   2 and	tonic
   2 and	Immunisation
   2 a	Nazi
   2 Welsh	schools
   2 Weather	Sounds
   2 We	have
   2 Wales	urged
   2 Wales	Published
   2 Vaccination	and
   2 UK	s
   2 The	Tourist
   2 The	BBC
   2 TV	Weather
   2 South	African
   2 Related	Topics
   2 Published	4
