   8 I	m
   6 British	Vogue
   4 the	coronavirus
   4 The	Guardian
   3 year	old
   3 who	care
   3 vaccines	I
   3 then	humans
   3 the	NHS
   3 said	she
   3 radio	Art
   3 profit	then
   3 not	against
   3 more	for
   3 m	not
   3 m	against
   3 for	the
   3 for	profit
   3 design	Film
   3 companies	who
   3 care	more
   3 against	vaccines
   3 against	companies
   3 a	vaccine
   3 TV	radio
   3 Search	jobs
   3 Music	TV
   3 Games	Classical
   3 Film	Games
   3 Classical	Stage
   3 Books	Music
   3 Art	design
   2 would	choose
   2 who	said
   2 to	cope
   2 to	be
   2 the	frontline
   2 the	Guardian
   2 than	1
   2 sure	there
   2 she	would
   2 she	has
   2 s	sic
   2 over	a
   2 on	her
   2 of	the
   2 more	than
   2 m	sure
   2 licensing	site
   2 jobs	Holidays
   2 is	more
   2 humans	MIA
   2 how	many
   2 her	Instagram
   2 has	claimed
   2 fight	for
   2 don	t
   2 death	over
   2 coronavirus	pandemic
   2 content	licensing
   2 choose	death
   2 article	is
   2 app	Guardian
   2 and	immunisation
   2 about	her
   2 a	year
   2 a	feature
   2 This	article
   2 Sri	Lankan
   2 Sport	Culture
   2 She	has
   2 Rex	Shutterstock
   2 Puzzles	app
   2 Photograph	Bartosz
   2 Opinion	Sport
   2 News	Opinion
   2 MIA	Photograph
   2 Krupa	Rex
   2 International	edition
   2 I	care
   2 Holidays	Digital
   2 Guardian	content
   2 Guardian	Puzzles
   2 Digital	Archive
   2 Culture	Lifestyle
   2 Bartosz	Krupa
   2 Back	to
   2 Archive	Guardian
   2 African	countries
   2 1	year
   1 your	term
   1 you	ve
   1 you	through
   1 you	prepared
   1 year	Lack
   1 year	10
   1 www	theguardian
   1 writers	Digital
   1 wouldn	t
   1 workers	and
   1 withdrawn	his
   1 with	us
   1 with	new
   1 with	an
   1 with	Tamils
   1 will	be
   1 whose	real
   1 who	understand
   1 who	are
   1 white	I
   1 while	a
   1 where	we
   1 when	the
   1 when	everyone
   1 what	s
   1 went	on
   1 we	re
   1 we	need
   1 we	don
   1 we	can
   1 wavelength	s
   1 was	bombing
   1 want	it
   1 want	a
   1 voted	Boris
   1 virus	and
   1 view	Columnists
   1 videos	Letters
   1 ve	already
   1 vaxer	sic
   1 vax	comments
   1 variety	of
   1 vaccines	you
   1 vaccines	are
   1 vaccines	across
   1 vaccine	is
   1 vaccine	hits
   1 vaccine	for
   1 vaccine	exists
   1 vaccination	in
   1 us	Search
   1 us	Privacy
   1 us	Complaints
   1 up	for
   1 until	a
   1 union	Tennis
   1 unidentified	person
   1 unexpected	extras
   1 understand	what
   1 uk	Contact
   1 two	things
   1 tweeted	All
   1 tried	to
   1 track	record
   1 topics	All
   1 top	2021
   1 told	the
   1 today	uk
   1 to	top
   1 to	the
   1 to	separate
   1 to	see
   1 to	research
   1 to	not
   1 to	navigation
   1 to	main
   1 to	home
   1 to	have
   1 to	exercise
   1 to	5G
   1 time	to
   1 time	as
   1 through	the
   1 this	content
   1 this	binary
   1 this	anti
   1 this	and
   1 this	I
   1 think	the
   1 think	5G
   1 things	are
   1 they	are
   1 there	s
   1 there	being
   1 there	are
   1 there	Just
   1 theories	linking
   1 them	and
   1 theguardian	com
   1 the	virus
   1 the	vaccines
   1 the	two
   1 the	time
   1 the	testing
   1 the	struggles
   1 the	screenshot
   1 the	public
   1 the	process
   1 the	post
   1 the	magazine
   1 the	end
   1 the	editor
   1 the	country
   1 the	body
   1 the	baseless
   1 the	Sri
   1 the	Sleeve
   1 the	British
   1 the	44
   1 that	the
   1 that	proves
   1 that	choice
   1 that	I
   1 that	British
   1 that	Anti
   1 that	African
   1 thanked	the
   1 text	conversation
   1 testing	ground
   1 term	It
   1 tech	hedge
   1 taking	financial
   1 t	want
   1 t	think
   1 t	feel
   1 t	exist
   1 t	be
   1 t	anti
   1 supports	the
   1 supporting	the
   1 such	claims
   1 style	2CMIA
   1 struggles	of
   1 stoked	the
   1 standing	with
   1 sports	Culture
   1 spokesperson	for
   1 so	black
   1 slow	the
   1 site	The
   1 site	Books
   1 singles	wavelength
   1 since	removed
   1 sic	who
   1 sic	variety
   1 sic	is
   1 sic	frequency
   1 she	made
   1 she	doesn
   1 she	clarified
   1 sex	Health
   1 set	fire
   1 separate	everything
   1 see	you
   1 sector	and
   1 screenshots	of
   1 screenshot	on
   1 scientific	basis
   1 saying	Considering
   1 saving	lives
   1 sarcastically	thanked
   1 same	time
   1 said	that
   1 s	paper
   1 s	lives
   1 s	happening
   1 s	allegations
   1 rights	reserved
   1 right	All
   1 reviews	and
   1 respecting	the
   1 respectful	of
   1 reserved	modern
   1 researchers	and
   1 research	isn
   1 research	how
   1 representatives	for
   1 removed	the
   1 related	she
   1 regarding	healthcare
   1 record	that
   1 real	name
   1 re	chronicling
   1 quoted	a
   1 pulled	article
   1 public	have
   1 proves	this
   1 protecting	people
   1 process	as
   1 process	Btw
   1 pro	respecting
   1 prepared	to
   1 prefer	to
   1 posted	on
   1 post	The
   1 possible	coronavirus
   1 policy	Terms
   1 policy	Cookie
   1 pictured	in
   1 person	who
   1 people	s
   1 people	from
   1 paper	Inside
   1 pandemic	Last
   1 pandemic	Early
   1 page	screenshots
   1 p	c1
   1 overlooking	her
   1 over	anti
   1 outbreak	While
   1 out	there
   1 out	at
   1 our	issues
   1 our	August
   1 or	slow
   1 or	its
   1 or	credible
   1 on	vaccination
   1 on	the
   1 on	Wed
   1 on	MIA
   1 on	Instagram
   1 on	Anti
   1 old	posted
   1 old	Musician
   1 old	MIA
   1 ogue	2CCulture
   1 offered	no
   1 offer	for
   1 of	them
   1 of	overlooking
   1 of	our
   1 of	doctors
   1 of	discussion
   1 of	comments
   1 of	a
   1 of	March
   1 of	British
   1 not	make
   1 not	always
   1 no	scientific
   1 no	comment
   1 newspaper	archive
   1 news	bold
   1 news	UK
   1 news	Skip
   1 news	Reuse
   1 news	Coronavirus
   1 news	2CUK
   1 news	2CSri
   1 new	singles
   1 need	to
   1 navigation	Advertisement
   1 name	is
   1 musician	whose
   1 music	news
   1 more	At
   1 month	the
   1 month	2
   1 modified	on
   1 modern	
   1 message	quoted
   1 me	the
   1 masts	around
   1 many	vaccines
   1 many	people
   1 many	African
   1 make	everything
   1 main	contentSkip
   1 magazine	on
   1 magazine	has
   1 magazine	for
   1 made	we
   1 made	on
   1 lives	have
   1 lives	every
   1 linking	5G
   1 liberty	I
   1 learning	to
   1 labs	and
   1 just	wouldn
   1 jobs	Sign
   1 jobs	Back
   1 its	affiliated
   1 it	coming
   1 issues	July
