  18 확	진자
  14 마스크	를
  10 백신	접종
   8 추가	접종
   8 정부	는
   8 접종	을
   8 접종	완료
   8 완료	율
   8 영국	정부
   8 시민	들
   8 들	은
   6 하고	있습니다
   6 코로나	19
   6 있습니다	영국
   6 이승재	기자
   6 위드	코로나
   6 영국	의
   6 마스크	착용
   6 들	이
   6 들	을
   6 뉴스	9
   5 KBS	뉴스
   4 현재	는
   4 해야	한다고
   4 최신	뉴스
   4 최석	규
   4 촬영기	자
   4 진자	수
   4 진자	는
   4 주	최석
   4 접종	률
   4 전문가	들
   4 적	인
   4 자	유성
   4 있는데요	런던
   4 입니다	촬영기
   4 이승재	입니다
   4 이	위드
   4 의무	화
   4 의	방역
   4 율	은
   4 유성	주
   4 아이	들
   4 사람	들
   4 백신	의무
   4 방역	전문가
   4 명	이
   4 메뉴	닫기
   4 런던	의
   4 들	의
   4 동영상	영역
   4 도	마스크
   4 는	4만
   4 뉴스	이승재
   4 규	영상편집
   4 고	있습니다
   4 경인	o
   4 경우	가
   4 BUTTON	메뉴
   4 BUTTON	동영상
   4 4만	명
   4 202111	01
   3 전체	o
   3 이	시각
   3 뉴스	광장
   3 뉴스	o
   3 o	전체
   3 o	뉴스
   3 TV	뉴스
   3 KBS	WORLD
   3 KBS	N
   3 K	o
   2 훨씬	더
   2 후반	대
   2 후	o
   2 환자	여전히
   2 확산	세
   2 확산	돼
   2 확대	해야
   2 확대	하기로
   2 확대	아이
   2 화질	자동
   2 화	에는
   2 화	바이든
   2 혹은	불완전
   2 현지	연결
   2 현장	에서
   2 현실	적
   2 행진	을
   2 행정부	에
   2 했지만	방역
   2 했으나	정치권
   2 했습니다	리포트
   2 했습니다	결론
   2 했다가	현재
   2 해제	한
   2 해봅니다	이승재
   2 해도	백
   2 해달라	시민
   2 해	50
   2 합니다	특히
   2 합니다	앤드류
   2 합니다	백신
   2 합니다	끔찍하게
   2 할	수도
   2 할	수
   2 할	게
   2 한다고	지적
   2 한다고	주장
   2 한다고	강조
   2 한	달
   2 한	공원
   2 한	결과
   2 한	건
   2 학생	들
   2 하지	않고
   2 하지	않겠다는
   2 하루	평균
   2 하루	에
   2 하려	했으나
   2 하는	현실
   2 하는	종
   2 하는	정도
   2 하는	모습
   2 하는	겁니다
   2 하기로	했지만
   2 하고	있는
   2 하고	12
   2 하	거나
   2 피카딜리	광장
   2 프랑스	도
   2 푸	터
   2 표준	화질
   2 폭증	에
   2 포인트	정도
   2 포기	하지
   2 평균	확
   2 펍	음식점
   2 패스	취소
   2 패스	의무
   2 패스	도입
   2 특히	교육
   2 통해	서
   2 토요일	엔
   2 키	보드
   2 크게	확산
   2 코로나	정책
   2 코로나	를
   2 코로나	넉
   2 코로나	감염
   2 컨트롤	안내
   2 카페나	펍
   2 취재	했습니다
   2 취재	진
   2 취재	K
   2 취소	해달라
   2 축구	경기장
   2 최대한	감염
   2 최	대치
   2 청소년	의
   2 철회	된
   2 천여	명
   2 채널	KBS
   2 찾아보기	어렵지만
   2 창	o
   2 착용	을
   2 착용	은
   2 착용	여부
   2 째인	영국
   2 진자	폭증
   2 진자	의
   2 진자	수가
   2 진자	가
   2 진자	3833
   2 진	이
   2 지침	을
   2 지적	합니다
   2 지역	뉴스
   2 지난주	영국
   2 지난달	5만
   2 지난	토요일
   2 지금	정오
   2 지금	까지
   2 증	환자
   2 중요하다고	보는
   2 중요	앵커
   2 줄이거나	접종
   2 주장	합니다
   2 주장	하는
   2 주장	하고
   2 주말	부터
   2 주는	경우
   2 죠	기자
   2 좋아요	공유
   2 종	혹은
   2 종	사자
   2 조금	넘은
   2 제재	도
   2 제자리	걸음
   2 정치권	과
   2 정체	백신
   2 정체	되고
   2 정책	을
   2 정오	가
   2 정부	상대
   2 정반대	입니다
   2 정도	였습니다
   2 정도	밖에
   2 정도	로
   2 접종	확대
   2 접종	자
   2 접종	도
   2 접종	거부
   2 접종	거
   2 점심	을
   2 점심	시간
   2 절반	정도
   2 전화	02781
   2 적	으로
   2 저	는
   2 재생	BUTTON
   2 자주	쓰는
   2 자유	를
   2 자문	단
   2 자동	재생
   2 자	이지만
   2 자	격리
   2 있지	않은
   2 있습니다	이
   2 있습니다	앵커
   2 있습니다	시민
   2 있습니다	마스크
   2 있습니다	꺾이지
   2 있습니다	​
   2 있는데도	모든
   2 있는데	우리나라
   2 있는	경우
   2 입력	202111
   2 입니다	확
   2 입니다	카페나
   2 입니다	시민
   2 입니다	따라서
   2 일	하는
   2 인플루엔자	같은
   2 인파	가
   2 인증	을
   2 인식	이
   2 인데	확
   2 인데	요
   2 인구	의
   2 인구	대비
   2 인구	가
   2 인가요	오가는
   2 인	피카딜리
   2 인	대책
   2 인	관광지
   2 이처럼	접종
   2 이진	이
   2 이지만	백신
   2 이자	교통
   2 이어	세계
   2 이상	에
   2 이미	거부
   2 이렇게	보시다시피
   2 이라는	인식
   2 이동	하는
   2 이고	사망자
   2 이고	백신
   2 이	훨씬
   2 이	크게
   2 이	최대한
   2 이	정체
   2 이	점심
   2 이	영국
   2 이	어가
   2 이	모여
   2 이	많이
   2 이	들
   2 이	넘는
   2 이	고요
   2 의사	를
   2 의무	인증
   2 의	한
   2 의	하루
   2 의	절반
   2 의	요충지
   2 의	선택
   2 의	백신
   2 의	반발
   2 의	마스크
   2 의	대표
   2 의	대다수
   2 음식점	에서
   2 을	확대
   2 을	하고
   2 을	찾아보기
   2 을	주는
   2 을	실시
   2 을	시행
   2 을	시도
   2 을	선언
   2 을	상대로
   2 을	보호
   2 을	보이
   2 을	먹기
   2 을	맞지
   2 을	대상
   2 을	다시
   2 을	늘리거나
   2 을	높이는
   2 을	넘어
   2 을	권고
   2 은	지금
   2 은	제자리
   2 은	인구
   2 은	이미
   2 은	이렇게
   2 은	없다고
   2 은	안된다고
   2 은	백신
   2 은	당초
   2 은	다시
   2 은	개인
   2 으로	추가
   2 으로	영국
   2 율	정체
   2 율	이
   2 위험	군
   2 위해	이동
   2 위중	증
   2 위	이고
   2 우리나라	에선
   2 요충지	인
   2 요	인구
   2 오르지	않았습니다
   2 오가는	사람
   2 영유	아
   2 영역	이라는
   2 영역	시작
   2 영역	끝
   2 영상편집	이진
   2 영상편집	서
   2 영상	K
   2 영국	현지
   2 영국	추가
   2 영국	접종
   2 영국	인구
   2 영국	이
   2 영국	은
   2 영국	에서
   2 영국	공중보건
   2 였습니다	현재
   2 연결	해봅니다
