  10 백신	접종
   6 접종	증명서
   6 유통	되고
   6 위조	백신
   6 가짜	증명서
   4 최신	뉴스
   4 증명서	를
   4 증명서	가
   4 메뉴	닫기
   4 동영상	영역
   4 뉴스	12
   4 경인	o
   4 BUTTON	메뉴
   4 BUTTON	동영상
   4 202111	08
   3 전체	o
   3 뉴스	광장
   3 뉴스	o
   3 뉴스	9
   3 o	전체
   3 o	뉴스
   3 TV	뉴스
   3 KBS	WORLD
   3 KBS	N
   3 KBS	KBS
   3 K	o
   2 힘든	상황
   2 후	o
   2 화질	자동
   2 화	되자
   2 형태	는
   2 허위	증명서
   2 했습니다	바로
   2 했거나	음성
   2 해킹	기술
   2 해야만	합니다
   2 해서는	백신
   2 합니다	그런데
   2 함부르크	경찰
   2 할	수
   2 한다는	글
   2 한	유럽
   2 한	곳
   2 하기	위
   2 하기	시작
   2 푸	터
   2 표준	화질
   2 포함	한
   2 판매	한다는
   2 텔레	그램
   2 테스트	검사
   2 키	보드
   2 코로나	상태
   2 컨트롤	안내
   2 취재	K
   2 채널	KBS
   2 창	o
   2 지역	뉴스
   2 증명서	입니다
   2 증명서	유통
   2 증명서	까지도
   2 증명서	400
   2 죠	문서
   2 좋아요	공유
   2 조차	힘든
   2 조사	과정
   2 정도	유통
   2 접종	을
   2 접종	거
   2 접어	들었는데
   2 접	할
   2 점도	강조
   2 절반	은
   2 전체	에서
   2 적	인
   2 재생	BUTTON
   2 자동	재생
   2 있어서	독일
   2 있습니다	해킹
   2 있습니다	또
   2 있다는	것
   2 있는지	가늠
   2 입증	해야만
   2 입장	하기
   2 입력	202111
   2 입니다	텔레
   2 입니다	리포트
   2 인	방법
   2 인	것
   2 이용	시설
   2 이미	완료
   2 이미	개인정보
   2 이나	음식점
   2 이고	가짜
   2 이	죠
   2 이	유행
   2 이	유료
   2 이	노출
   2 의	신원
   2 음식점	등
   2 음성	인
   2 을	포함
   2 을	입증
   2 을	완료
   2 을	쉽게
   2 은	이미
   2 유행	하기
   2 유통	입력
   2 유료	화
   2 유럽	전체
   2 위드	코로나
   2 위	해서는
   2 완료	했거나
   2 완료	된
   2 영역	시작
   2 영역	끝
   2 영상	K
   2 였습니다	거래
   2 에선	허위
   2 에서만	가짜
   2 에서	한
   2 에서	불법
   2 에서	가짜
   2 에	입장
   2 어느	정도
   2 앵커	독일
   2 않는다는	점도
   2 안내	동영상
   2 신원	이
   2 시작	했습니다
   2 시작	동영상
   2 시작	BUTTON
   2 시설	에
   2 시사	o
   2 쉽게	접
   2 수정	202111
   2 수	있습니다
   2 세계	는
   2 상황	입니다
   2 상태	였습니다
   2 상태	로
   2 상점	이나
   2 상	위드
   2 사이	에서
   2 사실	상
   2 사람	의
   2 사는	사람
   2 비용	이
   2 불법	적
   2 북미	정상회담
   2 부터	PCR
   2 부자	들
   2 부	o
   2 보드	컨트롤
   2 방법	이
   2 바로	위조
   2 물론	이고
   2 문제	는
   2 문서	형태
   2 메신저	에선
   2 리포트	독일
   2 를	판매
   2 를	사는
   2 륀	함부르크
   2 로	접어
   2 레프	그
   2 또	가짜
   2 디지털	증명서
   2 등	대다수
   2 들었는데	문제
   2 들	사이
   2 됩니다	레프
   2 된	상태
   2 된	것
   2 되지	않는다는
   2 되자	백신
   2 되고	있어서
   2 되고	있습니다
   2 되고	있다는
   2 되고	있는지
   2 동원	되고
   2 동영상	시작
   2 동영상	고정
   2 독일	을
   2 독일	위조
   2 독일	상점
   2 독일	도
   2 도	사실
   2 댓글	BUTTON
   2 대변인	조사
   2 대다수	다중
   2 다중	이용
   2 다음	기사
   2 는	지금
   2 는	위조
   2 는	물론
   2 뉴스타임	o
   2 뉴스	BUTTON
   2 뉴스	7
   2 노출	되지
   2 나왔는데	절반
   2 까지도	유통
   2 까지	동원
   2 까지	기록
   2 기술	까지
   2 기록	된
   2 글로벌	K
   2 글	을
   2 그런데	10월
   2 그램	메신저
   2 그	륀
   2 과정	에서
   2 공지	사항
   2 공유	하기
   2 곳	에서만
   2 고화질	BUTTON
   2 고정	취소
   2 경찰	대변인
   2 경인	BUTTON
   2 것	입니다
   2 것	이
   2 것	을
   2 검색	창
   2 검사	비용
   2 거래	가
   2 거	부자
   2 개인정보	까지
   2 개	가
   2 강조	됩니다
   2 가짜	디지털
   2 가늠	조차
   2 가	이미
   2 가	유통
   2 가	어느
   2 가	나왔는데
   2 o	특파원
   2 WORLD	KBS
   2 PCR	테스트
   2 N	채널
   2 KBS	소개
   2 BUTTON	표준
   2 BUTTON	키
   2 BUTTON	좋아요
   2 BUTTON	글씨
   2 BUTTON	고화질
   2 BUTTON	검색
   2 930	뉴스
   2 400	개
   2 10월	부터
   2 1	TV
   2 08	1250
   2 08	1247
   2 02781	1000
   1 현장	영상
   1 현장	고봉
   1 헤드라인	배너
   1 합시다	o
   1 한국	언론
   1 한	방
   1 하는	기자
   1 하기	인쇄
   1 하기	오늘
