   8 코로나	19
   8 강제	전역
   6 해군	은
   6 접종	을
   6 자	에
   4 해군	이
   4 한	것
   4 최신	뉴스
   4 접종	절차
   4 접종	거부
   4 절차	를
   4 의무	화
   4 에	대한
   4 백신	접종
   4 백신	의무
   4 메뉴	닫기
   4 경인	o
   4 것	이라고
   4 거부	자
   4 BUTTON	메뉴
   4 AFP	통신
   4 202110	16
   4 19	백신
   4 16	0029
   3 전체	o
   3 윤나	경
   3 뉴스	광장
   3 뉴스	o
   3 뉴스	9
   3 o	전체
   3 o	뉴스
   3 TV	뉴스
   3 KBS	WORLD
   3 KBS	N
   3 K	o
   2 훈련	교육비
   2 후	o
   2 환자	여전히
   2 확보	에
   2 확	진자
   2 화	방침
   2 화	바이든
   2 혜택	을
   2 현지	시간
   2 현역	군인
   2 행정부	에
   2 했습니다	존
   2 했습니다	사진
   2 했습니다	강제
   2 했다고	밝혔습니다
   2 했는데	접종
   2 했고	837
   2 했거나	완료
   2 해달라	시민
   2 해군	코로나
   2 해군	지침
   2 할	수도
   2 할	경우
   2 할	것
   2 하지	않은
   2 하는	경우
   2 하	거나
   2 필요한	접종
   2 프랑스	도
   2 푸	터
   2 패스	취소
   2 퇴	출
   2 통신	은
   2 통신	에
   2 코로나	감염
   2 커비	미
   2 취재	K
   2 취소	해달라
   2 출처	AP
   2 출	당할
   2 최소	1회
   2 천여	명
   2 처음	입니다
   2 채널	KBS
   2 창	o
   2 집계	됐습니다
   2 진자	3833
   2 지침	이
   2 지침	을
   2 지역	뉴스
   2 지난	8월
   2 지난	12일
   2 증	환자
   2 중	98
   2 중	967
   2 준	것
   2 좋아요	공유
   2 존	커비
   2 조치	를
   2 정부	상대
   2 접종	하지
   2 접종	마감
   2 전체	에
   2 전역	하는
   2 전역	자
   2 전역	입력
   2 전역	시키겠다는
   2 전역	시키겠다고
   2 전망	했습니다
   2 전	에
   2 적용	될
   2 적	인
   2 장병	에
   2 자	격리
   2 있으며	마감
   2 있다고	해군
   2 입력	202110
   2 입니다	AFP
   2 일이	일어날지
   2 일어날지	국방부
   2 일부	혜택
   2 일	전
   2 인	불이익
   2 인	11월
   2 이라고	전망
   2 이라고	분석
   2 이	퇴
   2 이	코로나
   2 이	처음
   2 이	접종
   2 이	미군
   2 이	들
   2 의무	접종
   2 의	백신
   2 을	현지
   2 을	했고
   2 을	접종
   2 을	완료
   2 을	선택
   2 을	발표
   2 을	받지
   2 은	해군
   2 은	지난
   2 은	의무
   2 은	백신
   2 은	밝혔습니다
   2 은	35만
   2 으로	집계
   2 위중	증
   2 완료	했다고
   2 완료	한
   2 영유	아
   2 영상	K
   2 여전히	1천
   2 에는	전역
   2 에게	어떤
   2 에	필요한
   2 에	제동
   2 에	적용
   2 에	받은
   2 에	따르면
   2 에	더
   2 에	대해
   2 에	강제
   2 어떤	일이
   2 않은	장병
   2 아	교사
   2 신호	를
   2 신규	확
   2 시한	인
   2 시키겠다는	지침
   2 시키겠다고	밝혔습니다
   2 시작	했거나
   2 시사	o
   2 시민	천여
   2 시간	14일
   2 수정	202110
   2 수도	있다고
   2 수	있으며
   2 세계	는
   2 선택	할
   2 상대	행정소송
   2 사진	출처
   2 불이익	조치
   2 분석	했습니다
   2 분명한	신호
   2 북미	정상회담
   2 부	o
   2 법원	영유
   2 백신	을
   2 백신	거부
   2 방침	을
   2 방역	패스
   2 밝혔습니다	해군
   2 밝혔습니다	국방부
   2 밝혔습니다	AFP
   2 발표	했는데
   2 발표	한
   2 받지	못
   2 받은	훈련
   2 반환	할
   2 바이든	행정부
   2 미군	전체
   2 미군	의
   2 미국	해군
   2 미	해군
   2 미	국방부
   2 못	할
   2 못	하
   2 명의	군인
   2 명	중
   2 명	정부
   2 명	위중
   2 면역	확보
   2 많은	이
   2 마감	일
   2 마감	시한
   2 를	준
   2 를	시작
   2 를	발표
   2 를	반환
   2 를	끝내지
   2 따르면	미
   2 들	이
   2 들	에게
   2 될	경우
   2 됐습니다	AFP
   2 동영상	영역
   2 도	코로나
   2 더	보기
   2 더	많은
   2 댓글	BUTTON
   2 대해	강제
   2 대한	일부
   2 대한	구체
   2 대변인	은
   2 당할	수
   2 단축	10일
   2 는	해군
   2 는	지난
   2 는	지금
   2 는	면역
   2 뉴스타임	o
   2 뉴스	BUTTON
   2 뉴스	7
   2 끝내지	못
   2 까지	백신
   2 기준	현역
   2 기존	에
   2 기간	단축
   2 글로벌	K
   2 군인	중
   2 군인	이
   2 군인	들
   2 국방부	대변인
   2 국방부	는
   2 국방부	가
   2 구체	적
   2 교육비	를
   2 교사	백신
   2 공지	사항
   2 공유	하기
   2 공개	했습니다
   2 경인	BUTTON
   2 경우	에는
   2 경우	강제
   2 경우	4만
   2 경	기자
   2 격리	기간
   2 것	은
   2 것	으로
   2 검색	창
   2 거부	군인
   2 거나	기존
   2 감염	자
   2 가장	분명한
   2 가	최소
   2 가	접종
   2 가	가장
   2 美	해군
   2 美	법원
   2 →	7일
   2 o	특파원
   2 WORLD	KBS
   2 N	채널
   2 KBS	소개
   2 BUTTON	좋아요
   2 BUTTON	동영상
   2 BUTTON	글씨
   2 BUTTON	검색
   2 AP	연합뉴스
   2 AFP	는
   2 98	가
   2 967	가
   2 930	뉴스
   2 8월	미군
   2 837	는
   2 7일	로
   2 6천	명의
   2 4만	6천
   2 3833	명
   2 35만	명
   2 28일	까지
   2 1회	접종
   2 1천	명대
   2 19	팬데믹
   2 19	신규
   2 14일	공개
   2 12일	기준
   2 11월	28일
   2 10일	→
   2 1	TV
   2 02781	1000
   1 화질	자동
   1 현장	영상
   1 현장	고봉
   1 헤드라인	배너
   1 행정소송	방역
   1 행정소송	美
   1 합시다	o
   1 한국	언론
   1 한	방
   1 하는	기자
   1 하기	코로나
   1 하기	인쇄
   1 하기	BUTTON
   1 표준	화질
   1 포항	광주
   1 포토	뉴스
   1 포털	ON
   1 평창동계올림픽	특집
   1 평창동	계
   1 펼쳐	보기
   1 페이지	이슈
   1 페이지	검색
   1 팬데믹	코로나
   1 팬데믹	美
   1 팩트	체크
   1 패럴림픽	지진
   1 패럴림픽	4
   1 특파원	보고
   1 특파원	리포트
   1 특집	평창동계올림픽
   1 특집	평창동
   1 특보	BUTTON
   1 통합	뉴스룸
   1 토크쇼	J
   1 터	영역
   1 터	바로가기
   1 탐사	K
   1 키	보드
   1 클릭	동영상
   1 크랩	o
   1 크랩	D
   1 크게	보기
   1 코너	취재
   1 케이	야
   1 컨트롤	안내
   1 취재	후
   1 취소	미국
   1 충주	춘천
   1 춘천	강릉
   1 최영일	의
   1 최경영	의
   1 최강	시사
   1 총	2019
   1 체크	o
   1 청주	충주
   1 청소년	보호책임
   1 책임자	청소년
   1 책방	2020
   1 채용	About
   1 창원	진주
   1 창	열기
   1 창	숨기기
   1 질문	하는
   1 진주	대구
   1 지진	대피
   1 지방선거	러시아
   1 지금	케이
   1 지금	o
   1 지구촌뉴스	o
   1 지	마
   1 주진우	라이브
   1 주소	연락처
   1 제주	뉴스
   1 제보	재난
   1 제보	분야
   1 제동	더
   1 제동	美
   1 제대로	보겠습니다
   1 정치	합시다
   1 정치	경제
   1 정지	최신
   1 정상회담	613
   1 정상회담	31
   1 정보처리	방침
   1 정보	윤나
   1 전화	02781
   1 전체	정치
   1 전주	대전
   1 저널리즘	토크쇼
   1 재생	최신
   1 재생	BUTTON
   1 재보궐선거	저널리즘
   1 재난	포털
   1 재난	방송
   1 작게	보기
   1 자동	재생
   1 자	이은정
   1 자	00297
   1 일요진단	라이브
   1 인터넷	서비스
   1 인쇄	하기
   1 인사	이드
   1 익	센터
   1 이전	기사
   1 이은정	KBS
   1 이용	약관
   1 이슈	코로나
   1 이드	경인
   1 이	시각
   1 의	최강
   1 의	창
   1 의	시사
   1 의	기사
   1 의	건강
   1 의	HOT
   1 월드컵	특집
   1 원주	제주
   1 울산	창원
   1 운동	100년
   1 요령	KBS
   1 오도	GO
   1 오늘	의
   1 예능	시사
   1 영역	지역
   1 영역	시작
   1 영역	상세
   1 영역	끝
   1 영어	뉴스
   1 영상	o
   1 영등포구	여의공원로
   1 열기	뉴스
   1 연합뉴스	美
   1 연합뉴스	kbs
   1 연예	날씨
   1 연락처	수신료
