  10 golongan	antivaksin
   8 undang	undang
   7 terhadap	golongan
   6 no	image
   6 image	png
   5 tindakan	undang
   4 tindakan	terhadap
   4 png	BERITA
   4 Dalam	Negeri
   3 undang	by
   3 Kumpulan	Karangkraf
   2 wajar	Hamzah
   2 vaksin	itu
   2 vaksin	Covid
   2 tidak	berubah
   2 tanpa	kebenaran
   2 png	SinarHarian
   2 png	Sinar
   2 pengambilan	vaksin
   2 menolak	pengambilan
   2 menghasut	rakyat
   2 kenakan	tindakan
   2 kaji	kenakan
   2 golongan	aktivaksin
   2 footer	INSTAGRAM
   2 di	Terengganu
   2 antivaksin	wajar
   2 antivaksin	PM
   2 ambil	vaksin
   2 ambil	tindakan
   2 Video	Khas
   2 Tindakan	terhadap
   2 Terpelihara	Kumpulan
   2 Terengganu	tidak
   2 Suara	Sinar
   2 Sinar	Harian
   2 Sign	in
   2 Sign	Up
   2 Polisi	Data
   2 Negeri	KDN
   2 Menteri	Dalam
   2 Kerajaan	kaji
   2 Kementerian	Dalam
   2 INSTAGRAM	footer
   2 Harian	Official
   2 Hakcipta	Terpelihara
   2 E	Paper
   2 Data	Peribadi
   2 Covid	19
   2 Beliau	berkata
   2 Banjir	di
   2 603	5101
   2 2018	Hakcipta
   1 yang	tidak
   1 yang	lebih
   1 yang	kerajaan
   1 yang	disasarkan
   1 yang	digerakkan
   1 yang	ada
   1 www	googletagmanager
   1 waste	tahun
   1 walaupun	buat
   1 wajar	diambil
   1 view	this
   1 untuk	orang
   1 untuk	menolak
   1 untuk	mengenakan
   1 untuk	anda
   1 undang	wajar
   1 undang	anti
   1 undang	TERKINI
   1 undang	Saya
   1 undang	Paling
   1 to	view
   1 tipu	polis
   1 tinggi	kosnya
   1 tindakan	namun
   1 tindakan	hentikan
   1 tidak	sepatutnya
   1 tidak	senang
   1 tidak	mahu
   1 tidak	boleh
   1 tidak	betul
   1 tidak	ambil
   1 tiada	tindakan
   1 this	article
   1 tertutup	minda
   1 tersebut	Beliau
   1 terhadap	kerajaan
   1 terdapatnya	kempen
   1 terancam	lagi
   1 telah	memahami
   1 tarik	semula
   1 tangan	kementerian
   1 tan	e
   1 tahun	lalu
   1 supaya	menolak
   1 store	google
   1 standard	SOP
   1 sini	pada
   1 sinarpremium	logo
   1 sinarharianonline	sinar_whatapps
   1 sinarharian	sinar_telegram
   1 sinarharian	com
   1 sinar_youtube	png
   1 sinar_whatapps	png
   1 sinar_twitter	png
   1 sinar_tiktok	png
   1 sinar_telegram	png
   1 sinar_instagram	png
   1 sinar_facebook	png
   1 sila	layari
   1 sidang	media
   1 setiap	hari
   1 seperti	ini
   1 sepatutnya	menghasut
   1 seolah	olah
   1 senang	kepada
   1 semula	penangguhan
   1 selepas	membuat
   1 selepas	melakukan
   1 sekatan	pergerakan
   1 sehubungan	itu
   1 sebelum	PRU15
   1 sebagai	Menteri
   1 salinan	tanpa
   1 reputasi	buruk
   1 register	in
   1 ramai	untuk
   1 rakyat	supaya
   1 rakyat	seolah
   1 rakyat	akan
   1 pusat	membeli
   1 protected	IKUTI
   1 proses	imuniti
   1 prosedur	operasi
   1 promosi	dan
   1 polis	permainkan
   1 png	sinarharianonline
   1 png	sinarharian
   1 png	SinarOnline
   1 png	KHAS
   1 png	EDISI
   1 play	huawei
   1 peruntuk	RM500
   1 permainkan	undang
   1 perlu	lebih
   1 pergerakan	penuh
   1 perbuatan	golongan
   1 perasaan	yang
   1 perancangan	menggubal
   1 penyu	terancam
   1 penuh	di
   1 penjelasan	Newsletter
   1 penguatkuasaan	dan
   1 pendidikan	di
   1 pendaratan	penyu
   1 penangguhan	3
   1 pembalakan	Sungai
   1 pematuhan	sekatan
   1 pemantauan	pematuhan
   1 pemantauan	bersama
   1 pelbagai	agensi
   1 parti	sebelum
   1 pada	sidang
   1 pada	kali
   1 pada	Jumaat
   1 ordinan	pada
