  17 Dr	Roland
  13 vaksin	Pfizer
   5 Musa	Nordin
   5 Dr	Musa
   5 Covid	19
   5 Bell	s
   4 vaksin	mRNA
   4 s	Palsy
   4 makan	kacang
   4 bagi	setiap
   4 Pfizer	dan
   4 AEFI	ini
   3 saya	lampirkan
   3 mengenai	AEFI
   3 kesan	sampingan
   3 doktor	yang
   3 dan	hanya
   3 dan	Moderna
   3 Sumber	Dr
   3 Sudah	pasti
   3 AEFI	yang
   2 yang	tidak
   2 yang	telah
   2 yang	saya
   2 yang	paling
   2 yang	digunakan
   2 yang	dibuat
   2 yang	bakal
   2 vasovagal	response
   2 vaksin	tetapi
   2 vaksin	pilihan
   2 vaksin	Covid
   2 ubat	ubat
   2 tempat	suntikan
   2 telah	pun
   2 telah	membunuh
   2 suntikan	bukan
   2 subjek	dalam
   2 story	image
   2 setiap	sejuta
   2 setiap	100
   2 seorang	doktor
   2 semua	AEFI
   2 sebahagian	daripada
   2 saya	harus
   2 satu	lagi
   2 sampingan	vaksin
   2 salah	satu
   2 percaya	kepada
   2 peratus	kajian
   2 penonton	videonya
   2 pandemik	ini
   2 palsu	dan
   2 mungkin	juga
   2 mereka	yang
   2 mengeluarkan	antibodi
   2 mengambil	vaksin
   2 mengalami	vasovagal
   2 menakutkan	penonton
   2 membunuh	jururawat
   2 melindungi	kita
   2 media	sosial
   2 masyarakat	umum
   2 lain	yang
   2 kumpulan	vaksin
   2 kepada	kesan
   2 kajian	yang
   2 jururawat	yang
   2 jururawat	itu
   2 jurnal	yang
   2 ini	dan
   2 hidup	dan
   2 hari	sahaja
   2 hanya	mengalami
   2 fokus	kepada
   2 email	protected
   2 dua	hari
   2 di	tempat
   2 dengan	emosi
   2 dan	tidak
   2 dan	bukti
   2 dalam	ujian
   2 dalam	kumpulan
   2 bukti	yang
   2 boleh	semak
   2 bermain	dengan
   2 berkenaan	vaksin
   2 bakal	melindungi
   2 badan	kita
   2 apa	itu
   2 antibodi	yang
   2 and	Healthcare
   2 ambil	vaksin
   2 Roland	tidak
   2 Roland	Victor
   2 Regulatory	Agency
   2 Pfizer	adalah
   2 Palsy	dalam
   2 Moderna	telah
   2 Lagi	berita
