   6 kesan	sampingan
   5 Dr	Ronald
   4 Covid	19
   3 sampingan	vaksin
   2 yang	tidak
   2 video	itu
   2 vaksin	Pfizer
   2 story	image
   2 memberi	keterangan
   2 media	sosial
   2 laman	web
   2 kandungan	video
   2 email	protected
   2 di	media
   2 di	laman
   2 di	dalam
   2 bukan	antivaksin
   2 berhubung	kandungan
   2 antivaksin	Saya
   2 Saya	bukan
   2 Roland	Victor
   2 M	Fakhrull
   2 Kolum	Surat
   2 Fakhrull	Halim
   2 Dr	Roland
   2 603	7770
   1 yang	saya
   1 yang	pelbagai
   1 yang	menyambutnya
   1 yang	meninggalkan
   1 yang	mempunyai
   1 yang	memberi
   1 yang	disebutkannya
   1 yang	disampaikan
   1 yang	dimuat
   1 yang	dibangkitkan
   1 yang	antara
   1 web	NPRA
   1 web	KKM
   1 videonya	Saya
   1 video	yang
   1 video	tersebut
   1 video	berkenaan
   1 video	berdurasi
   1 video	Ekoran
   1 vaksin	yang
   1 vaksin	video
   1 vaksin	termasuklah
   1 vaksin	seperti
   1 vaksin	jenama
   1 vaksin	itu
   1 vaksin	daripada
   1 vaksin	Covid
   1 use	Syarat
   1 untuk	pengguna
   1 ubat	untuk
   1 turut	mengupas
   1 turut	membuat
   1 turun	di
   1 titik	beratkan
   1 tidak	tepat
   1 tidak	bersetuju
   1 tidak	ada
   1 tiba	di
   1 tetapi	ada
   1 tertentu	yang
   1 tertentu	termasuklah
   1 tersebut	beberapa
   1 tersebut	Bagaimanapun
   1 termasuklah	gejala
   1 termasuklah	fungsi
   1 termasuk	golongan
   1 terhadap	perkara
   1 terbuka	tak
   1 tepat	terhadap
   1 tegasnya	ketika
   1 tampil	di
   1 tak	boleh
   1 tafsiran	yang
   1 swasta	saya
   1 sudah	ada
   1 sosial	mengkritik
   1 sosial	dan
   1 sokongan	di
   1 serta	Seksyen
   1 seperti	Sinovac
   1 seorang	pakar
   1 seorang	antivaksin
   1 senget	Berdasarkan
   1 sementara	pelaksanaan
   1 semalam	polis
   1 semalam	berhubung
   1 selepas	mengambil
   1 selamat	vaksin
   1 selain	penerangan
   1 sedang	memuktamadkan
   1 secara	berfasa
   1 saya	titik
   1 saya	bertugas
   1 saya	ada
   1 satu	laporan
   1 sarjana	dalam
   1 sampingan	tertentu
   1 sampingan	selepas
   1 sampingan	itu
   1 salah	seorang
   1 salah	pemahaman
   1 risalah	maklumat
   1 rekod	Malaysia
   1 reaksi	yang
   1 rakyat	ketika
   1 pula	boleh
   1 provaksin	tegasnya
   1 protected	Lokasi
   1 protected	Editorial
   1 polis	semalam
   1 polis	memaklumkan
   1 polis	diterima
   1 perolehan	vaksin
   1 perkara	yang
   1 perkara	tersebut
   1 perjanjian	dengan
   1 penjagaan	kesihatan
   1 pengurusan	penjagaan
   1 pengguna	Rimup
   1 pengeluar	vaksin
   1 pengarang	M
   1 penerangan	mengenai
   1 pemahaman	yang
   1 pelbagai	Ada
   1 pelaksanaan	Program
   1 pakar	dalam
   1 pada	vaksin
   1 pada	kesan
   1 pada	Ahad
   1 pada	7
   1 pada	26
   1 of	use
   1 nisbah	kemungkinan
   1 nisbah	kebarangkalian
   1 negara	ini
   1 naik	menerusi
   1 musim	Covid
   1 mulakan	dilancarkan
   1 muka	senget
   1 mk	logo
   1 minit	yang
   1 menyifatkannya	membuat
   1 menyentuh	berkenaan
   1 menyambutnya	baik
   1 menurut	Seksyen
   1 menolak	vaksin
   1 meninggalkan	komen
   1 mengupas	isu
   1 mengkritik	Dr
   1 mengenai	vaksin
   1 mengenai	kesusahan
   1 mengenai	kesan
   1 mengambil	vaksin
   1 menerusi	laman
   1 menerima	reaksi
   1 menegaskan	bahawa
   1 mendapat	kesan
   1 memuktamadkan	perjanjian
   1 mempunyai	kelulusan
   1 membuat	tafsiran
   1 membuat	perolehan
   1 memaklumkan	hanya
   1 media	semalam
   1 malaysiakini	logo
   1 malaysiakini	Pertanyaan
   1 maklumat	ubat
   1 logo	MENU
   1 logo	Berita
   1 laporan	polis
   1 laporan	media
   1 lanjut	Panduankini
   1 laman	video
   1 laman	Facebook
   1 lain	menyentuh
   1 lain	mengenai
   1 lain	Makmal
   1 komen	sokongan
   1 kliniknya	pada
   1 ketika	musim
   1 ketika	dihubungi
   1 keterangan	kepada
   1 keterangan	di
   1 ketelusan	pada
   1 ketara	Maksudnya
   1 kesusahan	rakyat
   1 kesihatan	katanya
   1 kes	disiasat
   1 kepakaran	dalam
   1 kepada	polis
   1 kena	terbuka
   1 kena	ketara
   1 kemungkinan	mendapat
   1 kelulusan	sarjana
   1 keberkesanan	dan
   1 kebarangkalian	kesan
   1 katanya	yang
   1 katanya	Semalam
   1 juga	yang
   1 juga	salah
   1 jenis	Pfizer
   1 jenama	tertentu
   1 itu	turut
   1 itu	menerima
   1 itu	kena
   1 itu	dan
   1 itu	adalah
   1 isu	lain
   1 isu	isu
   1 ini	pada
   1 ini	Walaupun
   1 ini	Apa
   1 info	Kini
   1 image	story
   1 image	mk
   1 ia	dibangun
   1 hari	ini
   1 hanya	satu
   1 golongan	menolak
   1 gejala	muka
   1 fungsi	keberkesanan
   1 doktor	tampil
   1 diterima	berhubung
   1 diterangkan	di
   1 disiasat	menurut
   1 disebutkannya	di
   1 disampaikan	di
   1 dimuat	turun
   1 dimuat	naik
   1 dilancarkan	secara
   1 dihubungi	Malaysiakini
   1 dibangun	begitu
   1 dibangkitkan	Dr
   1 dia	bukanlah
   1 di	swasta
   1 di	negara
   1 di	Ibu
   1 dengan	pengeluar
   1 dengan	Dr
   1 daripada	AstraZeneca
   1 dari	pengarang
   1 dan	sedang
   1 dan	risalah
   1 dan	menyifatkannya
   1 dan	laman
   1 dan	kesan
   1 dan	kes
   1 dan	bagaimana
   1 dan	NPRA
   1 dan	Multimedia
   1 dan	Gamaleya
   1 dalam	videonya
   1 dalam	video
   1 dalam	pengurusan
   1 dalam	bidang
   1 dalam	bab
   1 cepat	Untuk
   1 bukanlah	seorang
   1 boleh	dimuat
   1 boleh	berselindung
   1 bidang	berkenaan
   1 bertugas	di
   1 bersetuju	dengan
   1 berselindung	katanya
   1 berpandangan	bahawa
   1 berkenaan	kesan
   1 berkenaan	dan
   1 berkenaan	Vaksin
   1 berita	dari
   1 berhubung	video
   1 berhubung	nisbah
   1 berfasa	pada
   1 berdurasi	56
   1 beratkan	pada
   1 begitu	cepat
   1 beberapa	doktor
   1 baik	termasuk
   1 bahawa	tidak
   1 bahawa	dia
   1 bagaimana	ia
   1 bab	ini
   1 antivaksin	Dr
   1 antara	lain
   1 akan	tiba
   1 akan	mulakan
